name,price
Spark 4 2gb/3gb (on installment),4000
Camon 12 Air/Pro (on installment),5000
TECNO CAMON12 AIR MOBILE ON INSTALLMENTS TECHNO MOBILES CAMON12 AIR,2000
C2 2/34-3/64 (on installment),4000
TECNO SPARK4 MOBILE ON INSTALLMENTS TECNO MOBILE SPARK4 EMI 0% ADVANCE,1600
tecno camon 12 air just week use fix 18000,18800
Techno air 12 brand new 4gb 64gb in reasonable,18500
Tecno spark 4,15500
Tecno camoni4,19500
Techno camon 12 Air (6.55") 64GB-4GB (Box Pack),20600
Tacno Camon Air 12,18000
Tecno pop 2f,6500
Techno camon 12 air 4gb 64gb,18500
Techno wx4 pro,5700
Tecno Camon I4,20000
Condition 10/10 only box,6500
tecno spark 4,15000
TECHNO POP 2F 1GB 16GB,6500
WX4 Pro,3500
