name,price
Techno Spark 4 Brand New 6.6 Inch 3 GB 32 GB,15799
Tecno spark 4 full warranty lush condition,14500
tecno spark 4,14999
spark 4,16000
Tecno spark 4 lit,13500
Tacno spark 4,14500
Tecno spark 4 for sale 3gb 32gb with warranty card,16000
Tecno spark 4,15500
Tecno spark 4   3/32,17000
My new Tecno spark 4 4gb,19000
TECNO Spark 4 . 3GB 32GB With Box PTA Approved,11000
tecno spark 4 lite,13000
Tecno Spark 4,15000
Tecno Spark 4 3 GB 32 GB with 12 month 7 days warranty,14800
Tecno Spark 4 Blue 10 months warranty,14800
Techno Spark 4,15500
Tecno sparke 4,15000
Tecno spark 4 lite,11500
Techno spark 4,15000
