name,price
Spark 4 2gb/3gb (on installment),4000
Tecno spark 4  3 Ram 32 memory condition bilkol ok,15000
Tecno spark 4. New condition,15500
Koi bhae tecno spark 4 salee kry to rabta kry,13000
Tecno Spark 4,14000
Tecno spark 4 lite -exchange possible-xiaomi 8-tenco12 air- infinix s5,14500
Tecno spark 4,16000
Tecno spark 4 light,13000
Spark 4 Lite 2/32,14000
Tecno Spark 4 3/32,15000
Tacno spark 4,14000
Tecno SPARK 4 Lite,13500
Tecno SPARK 4 3GB 32GB,11000
tecno spark 4,16500
techno spark 4 h 3 g.b ram 32 rom h camera bot acha,15000
Tecno spark 4 for sale kit only,15599
